GVKEY,Company,trimmed_company_name,Company_Handles,name,bio,join_date,tweets,following,followers,likes,media,private,verified
1045,AMERICAN AIRLINES GROUP INC,american airlines group,americanair,americanair,"Official Twitter for the world’s largest airline. We’re here for you 24/7. For more about us or a formal response, visit https://t.co/6GJxuwPp4T.",02-03-2009,2283208.0,106034.0,1607939.0,4989.0,2233.0,False,True
1078,ABBOTT LABORATORIES,abbott laboratories,abbottglobal,Abbott,"The @AbbottGlobal Twitter page was discontinued on Nov 30, 2020. Follow @AbbottNews for all news and updates moving forward.
TOU: https://t.co/uV6KKpRHLr",04-10-2013,5946.0,3039.0,35200.0,6872.0,2085.0,False,True
1161,ADVANCED MICRO DEVICES,advanced micro devices,amd,AMD,Official corporate news about the AMD technology enabling today and inspiring tomorrow.,21-05-2008,8930.0,256.0,965264.0,8965.0,1879.0,False,True
1209,AIR PRODUCTS & CHEMICALS INC,air products & chemicals,AirProducts,Air Products,"Industry-leading company of 19,000+ dedicated employees innovating toward a more #sustainable future with #industrialgas solutions & cutting-edge technology.",29-01-2010,3806.0,550.0,11374.0,278.0,925.0,False,True
1230,ALASKA AIR GROUP INC,alaska air group,alaskaair,Alaska Airlines,We’ve now reached tweeting altitude. ✈️ Our Social Care team is here 24/7. For a formal response: https://t.co/gu9m8EggyQ #iFlyAlaska,07-02-2008,336060.0,6004.0,382352.0,28205.0,4100.0,False,True
1300,HONEYWELL INTERNATIONAL INC,honeywell international,honeywell,Honeywell,"At #Honeywell, we're transforming the way the world works. #futureshaper",11-08-2009,3346.0,322.0,58550.0,4710.0,614.0,False,True
1356,ALCOA INC,alcoa,Alcoa,Alcoa,"Alcoa is a global industry leader in bauxite, alumina and aluminum products, with a strong portfolio of cast and rolled products and substantial energy assets.",11-06-2008,6660.0,5180.0,27585.0,3041.0,1562.0,False,True
1380,HESS CORP,hess corp,realsandrahess,Sandra Hess,"Actor, wife, mom to 4 amazing furries and wanna be gourmet chef. Mortal Kombat, Pensacola Wings Of Gold, Highlander, Nick Fury Agent Of Shield ....",16-12-2011,2750.0,356.0,6645.0,1291.0,318.0,False,True
1408,BEAM INC,beam inc,beamng,BeamNG,Bringing soft-body physics to the forefront,20-05-2012,1749.0,43.0,12550.0,462.0,246.0,False,True
1447,AMERICAN EXPRESS CO,american express,americanexpress,American Express,"Follow Amex's Erica (^E) & Alicia (^A) for insider news, access & more.",26-05-2009,68476.0,18536.0,860065.0,41.0,6204.0,False,True
1449,AFLAC INC,aflac inc,Aflac,Aflac,"Ready to talk coverage? Send us a Tweet.
Need assistance? @AflacHelpDesk
https://t.co/0Frz1xBTI2",11-03-2009,7945.0,728.0,61746.0,2155.0,1256.0,False,True
