Company,GVKEY,EXECID
ADC TELECOMMUNICATIONS INC,1013,10203
PINNACLE WEST CAPITAL CORP,1075,10739
AETNA INC,1177,14660
ALLEGHENY ENERGY INC,1279,5899
ALLTEL CORP,1318,12422
SKYWORKS SOLUTIONS INC,1327,17260
AMERICAN ELECTRIC POWER CO,1440,5366
WYETH,1478,14543
TRANE INC,1567,1768
AMETEK INC,1598,4252
ANALOG DEVICES,1632,3976
NABORS INDUSTRIES LTD,1661,4037
APACHE CORP,1678,3994
APPLE INC,1690,14302
APPLIED MATERIALS INC,1704,25876
ARCHER-DANIELS-MIDLAND CO,1722,24742
ASHLAND GLOBAL HOLDINGS INC,1794,20400
SOUTHERN CO GAS,1837,12438
AUTOMATIC DATA PROCESSING,1891,2385
BAKER HUGHES INC,1976,24905
BALL CORP,1988,10850
CONSTELLATION ENERGY GRP INC,1995,6462
BANK OF NEW YORK MELLON CORP,2019,24419
BARD (C.R.) INC,2044,10441
BAXTER INTERNATIONAL INC,2086,14299
BECTON DICKINSON & CO,2111,10110
BIOMET INC,2230,32128
VALARIS PLC,2270,31080
BRUNSWICK CORP,2444,14479
UNISYS CORP,2504,18654
CSX CORP,2574,23192
PROGRESS ENERGY INC,2783,16729
CENTEX CORP,2845,3852
CHURCH & DWIGHT INC,3026,28032
CIRCUIT CITY STORES INC,3054,24785
CINTAS CORP,3062,15654
CLEVELAND-CLIFFS INC,3107,30339
COMERICA INC,3231,5070
CA INC,3310,28519
CMS ENERGY CORP,3439,13125
COOPER INDUSTRIES PLC,3497,24438
COOPER COS INC (THE),3504,14292
COUNTRYWIDE FINANCIAL CORP,3555,9209
DANAHER CORP,3735,13127
TARGET CORP,3813,2235
DISNEY (WALT) CO,3980,1557
DOLLAR GENERAL CORP,4016,27416
DONNELLEY (R R) & SONS CO,4040,28147
DU PONT (E I) DE NEMOURS,4087,12571
FLOWSERVE CORP,4108,21241
EATON CORP PLC,4199,2361
EQT CORP,4430,21318
EXPEDITORS INTL WASH INC,4494,11440
FMC CORP,4510,20951
FEDERAL NATIONAL MORTGA ASSN,4601,21631
FEDERAL REALTY INVESTMENT TR,4605,33048
FIRST HORIZON NATIONAL CORP,4737,27602
WACHOVIA CORP,4739,16355
FLUOR CORP,4818,18101
FOREST LABORATORIES  -CL A,4843,387
ARTHUR J GALLAGHER & CO,4973,8963
GENUINE PARTS CO,5125,1259
GOODRICH CORP,5229,12402
L3HARRIS TECHNOLOGIES INC,5492,23068
WELLTOWER INC,5543,33059
HELMERICH & PAYNE,5581,462
HOLLYFRONTIER CORP,5667,34764
CENTERPOINT ENERGY INC,5742,10794
ILLINOIS TOOL WORKS,5878,14539
TRANE TECHNOLOGIES PLC,5959,14373
INTL BUSINESS MACHINES CORP,6066,16485
INTL FLAVORS & FRAGRANCES,6078,23216
INTL GAME TECHNOLOGY,6097,16031
INTL PAPER CO,6104,23217
JACOBS ENGINEERING GROUP INC,6216,8568
SEARS HOLDINGS CORP,6307,24544
KINDER MORGAN INC,6310,1547
KANSAS CITY SOUTHERN,6335,10904
EVERGY INC,6338,19896
LAM RESEARCH CORP,6565,18574
LEGGETT & PLATT INC,6649,4967
LEGG MASON INC,6653,9311
JEFFERIES FINANCIAL GRP INC,6682,549
L BRANDS INC,6733,555
RANGE RESOURCES CORP,6788,33712
MANITOWOC CO,6994,19477
MARATHON OIL CORP,7017,14406
HOST HOTELS & RESORTS INC,7063,31068
MARSH & MCLENNAN COS,7065,16317
MARSHALL & ILSLEY CORP,7067,23111
MASCO CORP,7085,17656
MCCORMICK & CO INC,7146,6020
MEDCO HEALTH SOLUTIONS INC,7186,12761
MERRILL LYNCH & CO INC,7267,14272
MILLIPORE CORP,7409,29299
MOLEX INC,7506,15971
MURPHY OIL CORP,7620,5134
MYLAN NV,7637,24999
NATIONAL CITY CORP,7711,24503
TENET HEALTHCARE CORP,7750,11923
NATIONAL SEMICONDUCTOR CORP,7772,4995
NEWELL BRANDS INC,7875,25702
NEWMONT CORP,7881,14677
NICOR INC,7904,23247
NOBLE ENERGY INC,7912,14597
NORFOLK SOUTHERN CORP,7923,21199
NISOURCE INC,7974,13173
XCEL ENERGY INC,7977,4729
TEREX CORP,7991,31033
NUCOR CORP,8030,5896
OCCIDENTAL PETROLEUM CORP,8068,702
FIRSTENERGY CORP,8099,3342
ONEOK INC,8151,23533
O-I GLASS INC,8215,16286
PPG INDUSTRIES INC,8247,16311
PACCAR INC,8253,3437
SEMPRA ENERGY,8272,1998
PALL CORP,8304,3500
PARKER-HANNIFIN CORP,8358,23195
PENTAIR PLC,8463,18547
APPLIED BIOSYSTEMS INC,8488,1555
ALTRIA GROUP INC,8543,14417
PRECISION CASTPARTS CORP,8717,4714
QUESTAR CORP,8873,23492
RAYMOND JAMES FINANCIAL CORP,8898,8606
RAYTHEON CO,8972,3114
AUTONATION INC,9063,20766
ROHM AND HAAS CO,9217,14628
ROSS STORES INC,9248,7208
ROWAN COMPANIES PLC,9258,3175
RYDER SYSTEM INC,9299,12393
SAFECO CORP,9351,27829
HILLSHIRE BRANDS CO,9411,28782
SCANA CORP,9445,4138
SCHERING-PLOUGH,9459,2172
SCHLUMBERGER LTD,9465,16308
SEALED AIR CORP,9555,4217
SMITH (A.O.),9771,11669
SNAP-ON INC,9778,472
EDISON INTERNATIONAL,9846,833
SOUTHWESTERN ENERGY CO,9904,14888
STRYKER CORP,10115,25904
SUNOCO INC,10156,12913
SYSCO CORP,10247,13949
TECO ENERGY INC,10277,27640
RS LEGACY CORP,10332,1772
ALLEGHENY TECHNOLOGIES INC,10405,16265
TELEFLEX INC,10407,23463
TELLABS INC,10420,27664
TEMPLE-INLAND INC,10426,3424
TERADYNE INC,10453,14965
ENERGY FUTURE HOLDINGS CORP,10507,18930
GLOBE LIFE INC,10614,16336
TYCO INTERNATIONAL PLC,10787,13508
UDR INC,10894,24862
UNITED PARCEL SERVICE INC,10920,21067
UST INC,10974,20959
UNIVERSAL HEALTH SVCS INC,11032,8337
VARIAN MEDICAL SYSTEMS INC,11115,18195
VORNADO REALTY TRUST,11220,28686
GRAHAM HOLDINGS CO,11300,1018
WENDY'S INTERNATIONAL INC,11366,23137
MEADWESTVACO CORP,11446,1471
WEYERHAEUSER CO,11456,1396
WEC ENERGY GROUP INC,11550,24664
ALLIANT ENERGY CORP,11554,5256
INTEGRYS HOLDING INC,11555,22947
WRIGLEY (WM) JR CO,11609,28545
TJX COS INC (THE),11672,21481
ZIONS BANCORPORATION NA,11687,7587
HENRY (JACK) & ASSOCIATES,11811,25643
BEAR STEARNS COMPANIES INC,11818,114
TRUIST FINANCIAL CORP,11856,113
NOVELL INC,11910,27456
ANADARKO PETROLEUM CORP,11923,12580
NOBLE CORP PLC,11925,8997
EMC CORP/MA,12053,20887
SUN MICROSYSTEMS INC,12136,27199
LINEAR TECHNOLOGY CORP,12216,6212
GENZYME CORP,12233,419
HEALTH MANAGEMENT ASSOC,12338,21801
ALTICE USA INC,12485,40630
UNUM GROUP,12726,6282
COMVERSE TECHNOLOGY INC,12884,13017
TWENTY-FIRST CENTURY FOX INC,12886,30312
AIRGAS INC,12950,11839
JOY GLOBAL INC,13003,13201
SYNOVUS FINANCIAL CORP,13041,12506
HEALTHPEAK PROPERTIES INC,13125,33985
