CEO Name,Company,GVKEY,EXECID,YEAR,trimmed_company_name,Company_Handles,small_username,id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,profile_image_url,background_image
Robert E. Switz,ADC TELECOMMUNICATIONS INC,1013,10203,2007,adc telecommunications,,,,,,,,,,,,,,,,,,,
Gerard J. Arpey,AMERICAN AIRLINES GROUP INC,1045,14591,2007,american airlines group,americanair,americanair,22536055,americanair,AmericanAir,"Official Twitter for the world’s largest airline. We’re here for you 24/7. For more about us or a formal response, visit https://t.co/6GJxuwPp4T.",,https://t.co/v79AIk0AA1,02-03-2009,21:23:05 UTC,2283208,106034,1607939,4989,2233,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278300677073260547/D4gW9RIh_normal.jpg,https://pbs.twimg.com/profile_banners/22536055/1594672091
William Joseph Post,PINNACLE WEST CAPITAL CORP,1075,10739,2007,pinnacle west capital,,,,,,,,,,,,,,,,,,,
"Miles D. White, M.B.A.",ABBOTT LABORATORIES,1078,14300,2007,abbott laboratories,abbottglobal,abbottglobal,1934702336,Abbott,AbbottGlobal,"The @AbbottGlobal Twitter page was discontinued on Nov 30, 2020. Follow @AbbottNews for all news and updates moving forward.
TOU: https://t.co/uV6KKpRHLr","Abbott Park, Illinois",http://t.co/UBghHfSbiA,04-10-2013,16:08:08 UTC,5946,3039,35200,6872,2085,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278315947774947328/Iu9eiA-S_normal.png,https://pbs.twimg.com/profile_banners/1934702336/1593609247
Hector de Jesus Ruiz,ADVANCED MICRO DEVICES,1161,20918,2007,advanced micro devices,amd,amd,14861876,AMD,AMD,Official corporate news about the AMD technology enabling today and inspiring tomorrow.,"Austin, TX",https://t.co/MxedQNir9p,21-05-2008,22:14:12 UTC,8930,256,965264,8965,1879,FALSE,TRUE,https://pbs.twimg.com/profile_images/1159963580319567872/FYwjYWG5_normal.jpg,https://pbs.twimg.com/profile_banners/14861876/1582052655
Ronald Allan Williams,AETNA INC,1177,14660,2007,aetna,aetna,aetna,,,,,,,,,,,,,,,TRUE,,
"John P. Jones, III",AIR PRODUCTS & CHEMICALS INC,1209,12121,2007,air products & chemicals,AirProducts,airproducts,109634966,Air Products,airproducts,"Industry-leading company of 19,000+ dedicated employees innovating toward a more #sustainable future with #industrialgas solutions & cutting-edge technology.",Worldwide,http://t.co/aFIbosFj9B,29-01-2010,18:52:02 UTC,3806,550,11374,278,925,FALSE,TRUE,https://pbs.twimg.com/profile_images/1337395927108227075/soJ-KmY0_normal.jpg,https://pbs.twimg.com/profile_banners/109634966/1607718790
William S. Ayer,ALASKA AIR GROUP INC,1230,14871,2007,alaska air group,alaskaair,alaskaair,13192972,Alaska Airlines,AlaskaAir,We’ve now reached tweeting altitude. ✈️ Our Social Care team is here 24/7. For a formal response: https://t.co/gu9m8EggyQ #iFlyAlaska,"Seattle, WA",https://t.co/gVPAjfAaOy,07-02-2008,05:17:36 UTC,336060,6004,382352,28205,4100,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278879278126387201/ww2Hm1rB_normal.jpg,https://pbs.twimg.com/profile_banners/13192972/1604351190
Paul J. Evanson,ALLEGHENY ENERGY INC,1279,5899,2007,allegheny energy,,,,,,,,,,,,,,,,,,,
David M. Cote,HONEYWELL INTERNATIONAL INC,1300,20931,2007,honeywell international,honeywell,honeywell,64764487,Honeywell,honeywell,"At #Honeywell, we're transforming the way the world works. #futureshaper","Charlotte, North Carolina",https://t.co/vUvlf7oarp,11-08-2009,16:53:16 UTC,3346,322,58550,4710,614,FALSE,TRUE,https://pbs.twimg.com/profile_images/746373313698603008/pxHBeDZv_normal.jpg,https://pbs.twimg.com/profile_banners/64764487/1576504928
Scott T. Ford,ALLTEL CORP,1318,12422,2007,alltel ,Alltel,alltel,,,,,,,,,,,,,,,,,
David J. Aldrich,SKYWORKS SOLUTIONS INC,1327,17260,2007,skyworks solutions,skyworksinc,skyworksinc,50125539,Skyworks Solutions,skyworksinc,,,http://t.co/F94dkiDh7c,23-06-2009,22:34:02 UTC,1637,65,2406,30,248,FALSE,FALSE,https://pbs.twimg.com/profile_images/613792268936282112/kybBmx6__normal.jpg,https://pbs.twimg.com/profile_banners/50125539/1604058306
Alain Juan Pablo Belda,ALCOA INC,1356,1510,2007,alcoa,Alcoa,alcoa,15085627,Alcoa,Alcoa,"Alcoa is a global industry leader in bauxite, alumina and aluminum products, with a strong portfolio of cast and rolled products and substantial energy assets.", NYSE: AA,https://t.co/cSh5OBBc51,11-06-2008,15:24:02 UTC,6660,5180,27585,3041,1562,FALSE,TRUE,https://pbs.twimg.com/profile_images/793218199911297024/2kcTpGjj_normal.jpg,https://pbs.twimg.com/profile_banners/15085627/1477952967
John B. Hess,HESS CORP,1380,2132,2007,hess corp,realsandrahess,realsandrahess,437985503,Sandra Hess,realsandrahess,"Actor, wife, mom to 4 amazing furries and wanna be gourmet chef. Mortal Kombat, Pensacola Wings Of Gold, Highlander, Nick Fury Agent Of Shield ....",,https://t.co/Ll7gumShh7,16-12-2011,02:12:19 UTC,2750,356,6645,1291,318,FALSE,TRUE,https://pbs.twimg.com/profile_images/753835128699260929/qG4wV1u6_normal.jpg,https://pbs.twimg.com/profile_banners/437985503/1363670269
Norman H. Wesley,BEAM INC,1408,18590,2007,beam inc,beamng,beamng,585833658,BeamNG,beamng,Bringing soft-body physics to the forefront,,http://t.co/XpnT7qRodf,20-05-2012,15:29:17 UTC,1749,43,12550,462,246,FALSE,TRUE,https://pbs.twimg.com/profile_images/529611246148919299/28T9-sg4_normal.png,https://pbs.twimg.com/profile_banners/585833658/1447781815
Michael G. Morris,AMERICAN ELECTRIC POWER CO,1440,5366,2007,american electric power,,,,,,,,,,,,,,,,,,,
Kenneth I. Chenault,AMERICAN EXPRESS CO,1447,2157,2007,american express,americanexpress,americanexpress,42712551,American Express,AmericanExpress,"Follow Amex's Erica (^E) & Alicia (^A) for insider news, access & more.",Community Guidelines,https://t.co/a2NnA4SGyV,26-05-2009,20:32:45 UTC,68476,18536,860065,41,6204,FALSE,TRUE,https://pbs.twimg.com/profile_images/983285404253196288/rx3n00Ep_normal.jpg,https://pbs.twimg.com/profile_banners/42712551/1585166874
Daniel Paul Amos,AFLAC INC,1449,13,2007,aflac inc,Aflac,aflac,23797083,Aflac,aflac,"Ready to talk coverage? Send us a Tweet.
Need assistance? @AflacHelpDesk
https://t.co/0Frz1xBTI2",,https://t.co/0Frz1xBTI2,11-03-2009,17:41:01 UTC,7945,728,61746,2155,1256,FALSE,TRUE,https://pbs.twimg.com/profile_images/1168921769215975427/9HtgkZck_normal.png,https://pbs.twimg.com/profile_banners/23797083/1608417135
Robert Alan Essner,WYETH,1478,14543,2007,wyeth,wyethwire,wyethwire,,,,,,,,,,,,,,,,,
Martin John Sullivan,AMERICAN INTERNATIONAL GROUP,1487,26441,2007,american international group,AIGinsurance,aiginsurance,126118683,AIG,AIGinsurance,"Global insurance company committed to preparing our clients for what's next. For service, tweet us! 👋  Our Community Guidelines: https://t.co/7bcUQ3GZsV",Worldwide,http://t.co/1Q1cbaVvyn,24-03-2010,22:10:39 UTC,6537,267,42448,681,1917,FALSE,TRUE,https://pbs.twimg.com/profile_images/1192132011185655809/ZajiTWMb_normal.jpg,https://pbs.twimg.com/profile_banners/126118683/1600799000
Frederic M. Poses,TRANE INC,1567,1768,2007,trane inc,trane,trane,,,,,,,,,,,,,,,,,
Frank S. Hermance,AMETEK INC,1598,4252,2007,ametek,AMETEKInc,ametekinc,256996215,AMETEK Inc.,AMETEKInc,A leading global manufacturer of electronic instruments and electromechanical devices. AMETEK [AME] is a component of the S&P 500 Index,"Berwyn, PA 19312",http://t.co/NlirNzRjrJ,24-02-2011,14:08:24 UTC,2370,483,2888,678,456,FALSE,FALSE,https://pbs.twimg.com/profile_images/509668952251699201/RZIku8l2_normal.jpeg,https://pbs.twimg.com/profile_banners/256996215/1573573172
Kevin W. Sharer,AMGEN INC,1602,1542,2007,amgen ,amgen,amgen,28436760,Amgen,Amgen,Patients. They're why we develop and manufacture innovative human therapeutics to treat serious diseases. #WeareBiotech Community Guidelines: https://t.co/fo1laM9PxA,"Thousand Oaks, CA, USA",https://t.co/Xj8YsWFIRy,02-04-2009,22:32:57 UTC,9884,344,96125,1450,2524,FALSE,TRUE,https://pbs.twimg.com/profile_images/1340003269012123648/j4ObZeKE_normal.jpg,https://pbs.twimg.com/profile_banners/28436760/1605763610
Jerald G. Fishman,ANALOG DEVICES,1632,3976,2007,analog devices,adi_news,adi_news,37722624,"Analog Devices, Inc.",ADI_News,Analog Devices — the world leader in high performance signal processing.,"Norwood, MA",http://t.co/tpzPo7WLnw,04-05-2009,18:38:05 UTC,12029,805,43911,1948,2324,FALSE,FALSE,https://pbs.twimg.com/profile_images/1111633036876136449/2hgrtGQf_normal.png,https://pbs.twimg.com/profile_banners/37722624/1553868963
Eugene M. Isenberg,NABORS INDUSTRIES LTD,1661,4037,2007,nabors industries,NaborsGlobal,naborsglobal,1694623495,Nabors Industries,NaborsGlobal,"From automated rig components to integrated drilling solutions, Nabors provides the latest innovative technologies that are changing the way wells are drilled.",Global,https://t.co/Sg28rrNSOS,23-08-2013,19:12:12 UTC,198,140,617,11,155,FALSE,FALSE,https://pbs.twimg.com/profile_images/859497893018955776/fmc9tU-K_normal.jpg,https://pbs.twimg.com/profile_banners/1694623495/1552493845
"August A. Busch, IV",ANHEUSER-BUSCH COS INC,1663,23054,2007,anheuser-busch,AnheuserBusch,anheuserbusch,1435710336,Anheuser-Busch,AnheuserBusch,"America’s best-loved brewery, making stronger communities & meaningful moments. 🍺 Enjoy responsibly. Content & sharing for 21+. ©2020 https://t.co/Lf2DcpQ9ft","St. Louis, MO",https://t.co/svTDmmyqqC,17-05-2013,13:54:41 UTC,4234,137,55412,2209,1091,FALSE,TRUE,https://pbs.twimg.com/profile_images/885279958528086018/_1Cec8Yw_normal.jpg,https://pbs.twimg.com/profile_banners/1435710336/1598978945
G. Steven Farris,APACHE CORP,1678,3994,2007,apache corp,apache_be,apache_be,65355407,apache/,Apache_be,"Apache stelt op scherp. Apache zoekt naar de waarheid, roept de macht ter verantwoording en inspireert. Onafhankelijk, diepgravend en kritisch.","Antwerpen, België",https://t.co/9m7APfAFGh,13-08-2009,12:54:37 UTC,15404,2458,22819,1268,2038,FALSE,FALSE,https://pbs.twimg.com/profile_images/1347521515181498370/mF6LfOns_normal.jpg,https://pbs.twimg.com/profile_banners/65355407/1610110207
Steven P. Jobs,APPLE INC,1690,14302,2007,apple,Apple,apple,,,,,,,,,,,,,,,TRUE,,
Michael R. Splinter,APPLIED MATERIALS INC,1704,25876,2007,applied materials inc,Applied_Blog,applied_blog,,,,,,,,,,,,,,,,,
Patricia A. Woertz,ARCHER-DANIELS-MIDLAND CO,1722,24742,2007,archer-daniels-midland,ADMupdates,admupdates,358252545,ADM,ADMupdates,"ADM is a global leader in nutrition, unlocking the power of nature to give customers an edge in solving global nutrition challenges of today and tomorrow.",,http://t.co/skAP3ZV2Wm,19-08-2011,16:36:53 UTC,848,216,6853,172,388,FALSE,FALSE,https://pbs.twimg.com/profile_images/1214576554371637248/mvKdoYEY_normal.png,https://pbs.twimg.com/profile_banners/358252545/1567777700
James J. OBrien,ASHLAND GLOBAL HOLDINGS INC,1794,20400,2007,ashland global holdings,,,,,,,,,,,,,,,,,,,
"John William Somerhalder, II",SOUTHERN CO GAS,1837,12438,2007,southern gas,SouthernGas,southerngas,68449404,Southern Gas Association,SouthernGas,"We connect our members with innovative ideas and relevant, timely information needed to operate natural gas systems more safely and effectively.","Dallas, TX",http://t.co/5UTGrYyDaj,24-08-2009,16:45:06 UTC,2385,276,1644,1007,1064,FALSE,FALSE,https://pbs.twimg.com/profile_images/1159185231951409152/7wQA5gi6_normal.jpg,https://pbs.twimg.com/profile_banners/68449404/1565207121
